Outlier,Imputer,Scaler,Accuracy,Precision,Recall,F1,SampleCount,FoldCount,Dataset
none,mean,none,0.7957567007720796,0.7950148518375724,0.7957567007720796,0.7938475653062557,891,5,Titanic
none,mean,standard,0.7923984683949532,0.7920364558760056,0.7923984683949532,0.7909795182247288,891,5,Titanic
none,mean,minmax,0.7912685958194714,0.7907976072493101,0.7912685958194714,0.7894689405946625,891,5,Titanic
none,mean,robust,0.7935220639005712,0.7931156113751258,0.7935220639005712,0.7920534534691862,891,5,Titanic
none,mean,quantile,0.7890151277383717,0.7882702688738199,0.7890151277383717,0.7876630175571924,891,5,Titanic
none,mean,unit_vector,0.7845019145063085,0.7842934618902959,0.7845019145063085,0.7830706727295176,891,5,Titanic
none,median,none,0.7968740192078337,0.7960212969945267,0.7968740192078337,0.7949044362869196,891,5,Titanic
none,median,standard,0.7935157868307073,0.7930150060709459,0.7935157868307073,0.7923358497047575,891,5,Titanic
none,median,minmax,0.7923921913250894,0.7918767627484303,0.7923921913250894,0.79054287583912,891,5,Titanic
none,median,robust,0.7935157868307074,0.7929308736730754,0.7935157868307074,0.7921658880552005,891,5,Titanic
none,median,quantile,0.7867679367271357,0.7860570955944086,0.7867679367271357,0.7855524519939338,891,5,Titanic
none,median,unit_vector,0.7845019145063085,0.7842934618902959,0.7845019145063085,0.7830706727295176,891,5,Titanic
none,knn,none,0.8013684012303056,0.8006869210332725,0.8013684012303056,0.7990535882900729,891,5,Titanic
none,knn,standard,0.80023225158496,0.7991472582488514,0.80023225158496,0.7984025621416424,891,5,Titanic
none,knn,minmax,0.7890214048082356,0.787744831765346,0.7890214048082356,0.7874410998538247,891,5,Titanic
none,knn,robust,0.799114933149206,0.798098747908859,0.799114933149206,0.7973455695090274,891,5,Titanic
none,knn,quantile,0.7946017199171427,0.79351000914351,0.7946017199171427,0.7932737624999175,891,5,Titanic
none,knn,unit_vector,0.7856255100119265,0.7852743919010237,0.7856255100119265,0.7841488659978048,891,5,Titanic
none,most_frequent,none,0.7968677421379701,0.795589489418093,0.7968677421379701,0.7949807275986825,891,5,Titanic
none,most_frequent,standard,0.7957504237022157,0.7954788495699732,0.7957504237022157,0.7945816773755282,891,5,Titanic
none,most_frequent,minmax,0.7912685958194714,0.7907976072493101,0.7912685958194714,0.7894689405946625,891,5,Titanic
none,most_frequent,robust,0.7946268281965978,0.7943555415427087,0.7946268281965978,0.7933357184567842,891,5,Titanic
none,most_frequent,quantile,0.7912372104701525,0.7907012485392451,0.7912372104701525,0.7901833316902893,891,5,Titanic
none,most_frequent,unit_vector,0.7845019145063085,0.7842934618902959,0.7845019145063085,0.7830706727295176,891,5,Titanic
none,constant_zero,none,0.7890025735986441,0.7877761358256086,0.7890025735986441,0.7873154468431512,891,5,Titanic
none,constant_zero,standard,0.7833971502102818,0.7823793210386865,0.7833971502102818,0.7818847403517208,891,5,Titanic
none,constant_zero,minmax,0.7878915322327538,0.7876578845813658,0.7878915322327538,0.786302871831334,891,5,Titanic
none,constant_zero,robust,0.784514468646036,0.7833532930109613,0.784514468646036,0.7829450963592199,891,5,Titanic
none,constant_zero,quantile,0.7744146632352018,0.7759334931284857,0.7744146632352018,0.7743195695745817,891,5,Titanic
none,constant_zero,unit_vector,0.7867553825874082,0.7856474224237003,0.7867553825874082,0.7845217674157452,891,5,Titanic
none,iterative,none,0.8002448057246878,0.7992254927371805,0.8002448057246878,0.7981000821586421,891,5,Titanic
none,iterative,standard,0.8013621241604418,0.8003182559183628,0.8013621241604418,0.7998841584201298,891,5,Titanic
none,iterative,minmax,0.7856568953612454,0.7849839907975541,0.7856568953612454,0.7842141552579156,891,5,Titanic
none,iterative,robust,0.8002385286548239,0.7991549617650288,0.8002385286548239,0.798681704908571,891,5,Titanic
none,iterative,quantile,0.7890025735986443,0.7884753355029256,0.7890025735986443,0.7879209566159314,891,5,Titanic
none,iterative,unit_vector,0.7878727010231624,0.7875152250294064,0.7878727010231624,0.7862426446846607,891,5,Titanic
none,drop,none,0.7934600610656949,0.7937617554957284,0.7934600610656949,0.791324097951363,712,5,Titanic
none,drop,standard,0.7934403624544469,0.7939049508687217,0.7934403624544469,0.7919116312310438,712,5,Titanic
none,drop,minmax,0.7850290554515907,0.7850935751526948,0.7850290554515907,0.7832975738315779,712,5,Titanic
none,drop,robust,0.7948586624642963,0.7950161828745209,0.7948586624642963,0.7928985460546047,712,5,Titanic
none,drop,quantile,0.7934403624544469,0.7933268095197504,0.7934403624544469,0.7920336847876919,712,5,Titanic
none,drop,unit_vector,0.7737909977346596,0.7737888084221747,0.7737909977346596,0.7717482424733768,712,5,Titanic
winsorization,mean,none,0.799114933149206,0.7983244553992292,0.799114933149206,0.7971327137177033,891,5,Titanic
winsorization,mean,standard,0.794620551126734,0.7934865099300501,0.794620551126734,0.7929699822214824,891,5,Titanic
winsorization,mean,minmax,0.7968740192078337,0.7960001283826934,0.7968740192078337,0.7950924591987036,891,5,Titanic
winsorization,mean,robust,0.792379637185362,0.7914658543750717,0.792379637185362,0.7908494416879576,891,5,Titanic
winsorization,mean,quantile,0.8002448057246877,0.7989051937812623,0.8002448057246877,0.798475848349718,891,5,Titanic
winsorization,mean,unit_vector,0.7822610005649363,0.7818778929303762,0.7822610005649363,0.780662838593859,891,5,Titanic
winsorization,median,none,0.7979913376435881,0.7971727766101294,0.7979913376435881,0.7959153471709355,891,5,Titanic
winsorization,median,standard,0.7968677421379701,0.7958080744298226,0.7968677421379701,0.7955200451998751,891,5,Titanic
winsorization,median,minmax,0.7968740192078337,0.7960001283826934,0.7968740192078337,0.7950924591987036,891,5,Titanic
winsorization,median,robust,0.7946268281965978,0.7937942623493839,0.7946268281965978,0.7932755793201887,891,5,Titanic
winsorization,median,quantile,0.8002448057246877,0.7989739091302848,0.8002448057246877,0.798486763187161,891,5,Titanic
winsorization,median,unit_vector,0.7822610005649363,0.7818778929303762,0.7822610005649363,0.780662838593859,891,5,Titanic
winsorization,knn,none,0.80023225158496,0.79937706541247,0.80023225158496,0.7980642882657298,891,5,Titanic
winsorization,knn,standard,0.8047078023978406,0.803639906380942,0.8047078023978406,0.8029177202990263,891,5,Titanic
winsorization,knn,minmax,0.797991337643588,0.796678181508218,0.797991337643588,0.7960404451592348,891,5,Titanic
winsorization,knn,robust,0.8024606113866047,0.8014036821519541,0.8024606113866047,0.8006340357567922,891,5,Titanic
winsorization,knn,quantile,0.8036030381018142,0.8026401432854131,0.8036030381018142,0.8022204334215101,891,5,Titanic
winsorization,knn,unit_vector,0.7833845960705542,0.7828471744240322,0.7833845960705542,0.7817238952847938,891,5,Titanic
winsorization,most_frequent,none,0.78788525516289,0.7876213275413472,0.78788525516289,0.7859766345632764,891,5,Titanic
winsorization,most_frequent,standard,0.7811499591990458,0.781287034407693,0.7811499591990458,0.7796292600141572,891,5,Titanic
winsorization,most_frequent,minmax,0.7912497646098801,0.790828497715067,0.7912497646098801,0.7899235050907629,891,5,Titanic
winsorization,most_frequent,robust,0.7822735547046638,0.7823688730693494,0.7822735547046638,0.7809019121199896,891,5,Titanic
winsorization,most_frequent,quantile,0.7856317870817902,0.7856837228133238,0.7856317870817902,0.7838267000761745,891,5,Titanic
winsorization,most_frequent,unit_vector,0.7856317870817902,0.784630241518879,0.7856317870817902,0.783446113673736,891,5,Titanic
winsorization,constant_zero,none,0.7890088506685079,0.7891303869858873,0.7890088506685079,0.7874298984804294,891,5,Titanic
winsorization,constant_zero,standard,0.7845207457158998,0.7845452794189469,0.7845207457158998,0.7832150249212705,891,5,Titanic
winsorization,constant_zero,minmax,0.786761659657272,0.7871052206627611,0.786761659657272,0.7849183090813101,891,5,Titanic
winsorization,constant_zero,robust,0.7867679367271357,0.7866277906337831,0.7867679367271357,0.7853240592988342,891,5,Titanic
winsorization,constant_zero,quantile,0.7777917268219195,0.778774187468337,0.7777917268219195,0.7773704463858351,891,5,Titanic
winsorization,constant_zero,unit_vector,0.7867553825874082,0.7856474224237003,0.7867553825874082,0.7845217674157452,891,5,Titanic
winsorization,iterative,none,0.7968614650681062,0.7961174073737992,0.7968614650681062,0.7948897971064104,891,5,Titanic
winsorization,iterative,standard,0.7979850605737242,0.7972289657876763,0.7979850605737242,0.7965604013269905,891,5,Titanic
winsorization,iterative,minmax,0.7968677421379698,0.7957878195720411,0.7968677421379698,0.7951690199810535,891,5,Titanic
winsorization,iterative,robust,0.7979850605737242,0.7972289657876763,0.7979850605737242,0.7965604013269905,891,5,Titanic
winsorization,iterative,quantile,0.8035967610319503,0.8030799072061182,0.8035967610319503,0.8024499811416635,891,5,Titanic
winsorization,iterative,unit_vector,0.7867553825874081,0.7862932123021749,0.7867553825874081,0.7848541589949541,891,5,Titanic
winsorization,drop,none,0.786427656850192,0.7870594265734583,0.786427656850192,0.7844929514618233,712,5,Titanic
winsorization,drop,standard,0.7906431596572441,0.7905495917071784,0.7906431596572441,0.7889420321248857,712,5,Titanic
winsorization,drop,minmax,0.7836206047473653,0.7845628266718059,0.7836206047473653,0.7820057097651828,712,5,Titanic
winsorization,drop,robust,0.7836009061361173,0.7840049915468781,0.7836009061361173,0.7818566635209561,712,5,Titanic
winsorization,drop,quantile,0.8004924652811978,0.8014000911403638,0.8004924652811978,0.7989307685181936,712,5,Titanic
winsorization,drop,unit_vector,0.7737909977346596,0.7737888084221747,0.7737909977346596,0.7717482424733768,712,5,Titanic
log,mean,none,0.7979850605737242,0.7981221358380368,0.7979850605737242,0.7966122180084312,891,5,Titanic
log,mean,standard,0.8002259745150961,0.8002319834561114,0.8002259745150961,0.7996366425422975,891,5,Titanic
log,mean,minmax,0.7856506182913815,0.7861259588050307,0.7856506182913815,0.784455746847301,891,5,Titanic
log,mean,robust,0.8002259745150961,0.8002319834561114,0.8002259745150961,0.7996366425422975,891,5,Titanic
log,mean,quantile,0.7934906785512522,0.7925651297225496,0.7934906785512522,0.7922298943271462,891,5,Titanic
log,mean,unit_vector,0.7867553825874082,0.785561872984107,0.7867553825874082,0.7843750264994809,891,5,Titanic
log,median,none,0.7979850605737242,0.797811265052868,0.7979850605737242,0.7966457369653381,891,5,Titanic
log,median,standard,0.8024731655263324,0.8023411060203088,0.8024731655263324,0.8014944439553847,891,5,Titanic
log,median,minmax,0.7867742137969995,0.7871813450695004,0.7867742137969995,0.7855290681037712,891,5,Titanic
log,median,robust,0.8013495700207143,0.8012588549794468,0.8013495700207143,0.8004295779480177,891,5,Titanic
log,median,quantile,0.7878915322327538,0.7872956677527974,0.7878915322327538,0.7865990559430337,891,5,Titanic
log,median,unit_vector,0.7867553825874082,0.785561872984107,0.7867553825874082,0.7843750264994809,891,5,Titanic
log,knn,none,0.7923608059757704,0.7920573267909861,0.7923608059757704,0.7913252039121952,891,5,Titanic
log,knn,standard,0.7912497646098802,0.7912974504215174,0.7912497646098802,0.7905563133401797,891,5,Titanic
log,knn,minmax,0.7845332998556274,0.7854725942279368,0.7845332998556274,0.7836813019502754,891,5,Titanic
log,knn,robust,0.7934906785512522,0.7934655705514476,0.7934906785512522,0.7926731299496497,891,5,Titanic
log,knn,quantile,0.7845081915761722,0.7836119382349377,0.7845081915761722,0.7833579760401654,891,5,Titanic
log,knn,unit_vector,0.785638064151654,0.7844605045242826,0.785638064151654,0.7833241462888012,891,5,Titanic
log,most_frequent,none,0.799114933149206,0.7990205983203424,0.799114933149206,0.7975878335715542,891,5,Titanic
log,most_frequent,standard,0.8013495700207143,0.8015979772454835,0.8013495700207143,0.8008163647540346,891,5,Titanic
log,most_frequent,minmax,0.7878915322327538,0.7881079629154499,0.7878915322327538,0.7865938400373835,891,5,Titanic
log,most_frequent,robust,0.8013432929508504,0.801509585649355,0.8013432929508504,0.8008093015870523,891,5,Titanic
log,most_frequent,quantile,0.7912372104701525,0.7907012485392451,0.7912372104701525,0.7901833316902893,891,5,Titanic
log,most_frequent,unit_vector,0.7867553825874082,0.785561872984107,0.7867553825874082,0.7843750264994809,891,5,Titanic
log,constant_zero,none,0.7755382587408197,0.7779305382211771,0.7755382587408197,0.7749058264263358,891,5,Titanic
log,constant_zero,standard,0.7744146632352018,0.7767889894421842,0.7744146632352018,0.7740315340704166,891,5,Titanic
log,constant_zero,minmax,0.7755382587408197,0.7774964972291646,0.7755382587408197,0.7746342693532445,891,5,Titanic
log,constant_zero,robust,0.7744146632352018,0.7767889894421842,0.7744146632352018,0.7740315340704166,891,5,Titanic
log,constant_zero,quantile,0.777779172682192,0.7779278997405346,0.777779172682192,0.7771187150354938,891,5,Titanic
