Outlier,Imputer,Scaler,RMSE,MSE,MAE,R2,SampleCount,FoldCount,Dataset
none,mean,none,12.17347942993143,164.1264684817165,9.719419349999999,0.3483153684397283,20,5,Titanic
none,mean,standard,12.331589661889158,166.79018505347844,9.937179399999998,0.32252631333355775,20,5,Titanic
none,mean,minmax,12.223349547809532,164.91334833764455,9.7616673,0.3398833257270092,20,5,Titanic
none,mean,robust,12.223349547809532,164.91334833764455,9.7616673,0.3398833257270092,20,5,Titanic
none,mean,quantile,11.70742036379867,154.60686352479428,9.409656799999999,0.39275068920916933,20,5,Titanic
none,mean,unit_vector,13.165744977816152,189.6169325195579,11.088264449999999,0.1963269702184048,20,5,Titanic
none,median,none,12.1876744480569,164.15765336641198,9.736721549999995,0.34307082752897244,20,5,Titanic
none,median,standard,12.33119954836077,166.49312578023688,9.918327599999998,0.31975867564793264,20,5,Titanic
none,median,minmax,12.246610259733297,165.08490556550564,9.784836199999997,0.3331345836547419,20,5,Titanic
none,median,robust,12.187800420840263,164.15959828623718,9.737818949999996,0.34304998616810223,20,5,Titanic
none,median,quantile,11.738856256092598,154.81945935464674,9.41278205,0.38597376487199603,20,5,Titanic
none,median,unit_vector,13.18218936986165,190.7861669096638,11.130854249999997,0.2007355398377661,20,5,Titanic
none,knn,none,11.961310676661755,160.87458335318067,9.515976100000003,0.38082830671144274,20,5,Titanic
none,knn,standard,12.112339371560982,163.10366099302172,9.707490450000005,0.35814795001322797,20,5,Titanic
none,knn,minmax,11.97757651678152,161.0987792844617,9.537678200000006,0.3784258692181743,20,5,Titanic
none,knn,robust,11.978112798760344,161.11130747381327,9.545413100000005,0.3783723129457239,20,5,Titanic
none,knn,quantile,11.565470945139424,153.1411920458879,9.266461500000002,0.4162255451932239,20,5,Titanic
none,knn,unit_vector,13.22204265001229,192.19582006071656,11.189608299999998,0.1899056626031228,20,5,Titanic
none,most_frequent,none,12.041116404552287,161.40103568774845,9.619502050000005,0.3693821022129387,20,5,Titanic
none,most_frequent,standard,12.191133975861394,163.83230512705214,9.811866450000004,0.34454579899696863,20,5,Titanic
none,most_frequent,minmax,12.091627195108968,162.1851828089916,9.661345850000004,0.3609793429231101,20,5,Titanic
none,most_frequent,robust,12.041247597248965,161.40303932173043,9.620457850000005,0.36936063168323896,20,5,Titanic
none,most_frequent,quantile,11.625448933187597,153.9987890100968,9.337527000000003,0.4083769980363047,20,5,Titanic
none,most_frequent,unit_vector,13.254191012220264,189.30637735639556,11.210033149999997,0.169953918220697,20,5,Titanic
none,constant_zero,none,11.891429090348828,158.43562464372113,9.102079650000004,0.3844091710596391,20,5,Titanic
none,constant_zero,standard,11.980889151727693,159.83147946502447,9.246143500000002,0.37036710128537786,20,5,Titanic
none,constant_zero,minmax,11.881253961988133,158.24849202756474,9.084835450000003,0.3865483220725295,20,5,Titanic
none,constant_zero,robust,11.891585276666452,158.43801179436474,9.103035450000004,0.3843835908442646,20,5,Titanic
none,constant_zero,quantile,11.555876128653827,153.00727648059865,8.946681900000002,0.418284381322269,20,5,Titanic
none,constant_zero,unit_vector,12.974448686352918,182.87034245825015,10.708919900000001,0.20072213230988972,20,5,Titanic
none,iterative,none,12.167380357822877,169.12603667017038,9.789675899999999,0.3644520641153894,20,5,Titanic
none,iterative,standard,12.322427407511588,171.48863628242117,9.9928629,0.3425323205441636,20,5,Titanic
none,iterative,minmax,12.185260074629563,169.37024956430838,9.8100405,0.3618351289646734,20,5,Titanic
none,iterative,robust,12.167032054155973,169.11521940427218,9.784065,0.3644736868265207,20,5,Titanic
none,iterative,quantile,11.839795560536846,162.42117649251233,9.572694149999998,0.39465741114857683,20,5,Titanic
none,iterative,unit_vector,13.404037049152524,201.941515476497,11.4551813,0.18766698208664132,20,5,Titanic
none,drop,none,13.45013789819665,221.82283350629427,10.916223183333337,-0.8907354870317418,17,5,Titanic
none,drop,standard,13.455409203216382,221.99227917252762,10.932239850000004,-0.8933227449443486,17,5,Titanic
none,drop,minmax,13.45013789819665,221.82283350629427,10.916223183333337,-0.8907354870317418,17,5,Titanic
none,drop,robust,13.45013789819665,221.82283350629427,10.916223183333337,-0.8907354870317418,17,5,Titanic
none,drop,quantile,13.599680210826184,222.73911479287352,11.034409000000004,-0.925439695273457,17,5,Titanic
none,drop,unit_vector,14.178084234013017,228.5243785546289,11.30247721666667,-1.0180635486243137,17,5,Titanic
winsorization,mean,none,11.998218617674127,157.02765832056178,9.577883999999997,0.35520868435749015,20,5,Titanic
winsorization,mean,standard,12.139319982774314,159.6026140974953,9.815654599999998,0.3353686419920503,20,5,Titanic
winsorization,mean,minmax,11.998218617674127,157.02765832056178,9.577883999999997,0.35520868435749015,20,5,Titanic
winsorization,mean,robust,11.998342973672965,157.02962411597937,9.579016799999996,0.3551876192980649,20,5,Titanic
winsorization,mean,quantile,11.819975665824302,157.12762238882985,9.641917349999996,0.38001774622793627,20,5,Titanic
winsorization,mean,unit_vector,12.834113471212078,182.01668694826367,10.495799299999998,0.22255159269617253,20,5,Titanic
winsorization,median,none,12.020984457288693,157.205911349827,9.601465399999997,0.34843499820613016,20,5,Titanic
winsorization,median,standard,12.14625528376455,159.44016535757132,9.803081999999998,0.3311232839454209,20,5,Titanic
winsorization,median,minmax,12.029807953102313,157.34577523783702,9.607332099999997,0.34693624554550134,20,5,Titanic
winsorization,median,robust,12.021108813287531,157.20787714524462,9.602598199999996,0.3484139331467048,20,5,Titanic
winsorization,median,quantile,11.830232177996379,157.0156724433353,9.624432199999998,0.37653931236511423,20,5,Titanic
winsorization,median,unit_vector,12.842104610641087,182.39736207434333,10.505011999999997,0.22573526571792688,20,5,Titanic
winsorization,knn,none,11.7368069082314,153.00037022111303,9.338999050000005,0.3954644222952961,20,5,Titanic
winsorization,knn,standard,11.918824394790196,155.79572338303038,9.576481800000005,0.36976165702690345,20,5,Titanic
winsorization,knn,minmax,11.7368069082314,153.00037022111303,9.338999050000005,0.3954644222952961,20,5,Titanic
winsorization,knn,robust,11.758936940589185,153.3064203780926,9.373976150000004,0.39226554498111993,20,5,Titanic
winsorization,knn,quantile,11.574905848310431,153.74505087337462,9.392924050000003,0.4173084080296688,20,5,Titanic
winsorization,knn,unit_vector,12.912224681954765,184.4103529276773,10.589986949999997,0.20909185435188588,20,5,Titanic
winsorization,most_frequent,none,11.848109648451894,153.75679096756562,9.443170850000003,0.3775862935819293,20,5,Titanic
winsorization,most_frequent,standard,11.969213967987027,155.8773381347899,9.639909950000003,0.3611343241372792,20,5,Titanic
winsorization,most_frequent,minmax,11.848109648451894,153.75679096756562,9.443170850000003,0.3775862935819293,20,5,Titanic
winsorization,most_frequent,robust,11.84823079402572,153.7586717812476,9.444126650000003,0.37756613916930604,20,5,Titanic
winsorization,most_frequent,quantile,11.654689936376922,154.57034185452062,9.47790415,0.40604546389032414,20,5,Titanic
winsorization,most_frequent,unit_vector,12.679864750162434,175.86475128196008,10.494416499999998,0.25816570199105243,20,5,Titanic
winsorization,constant_zero,none,11.70344697142812,150.9209131033018,8.956596350000003,0.39224075056825064,20,5,Titanic
winsorization,constant_zero,standard,11.882372285632405,153.95558419211858,9.263962400000004,0.36516231998015164,20,5,Titanic
winsorization,constant_zero,minmax,11.703592722751079,150.92317743364544,8.957552150000003,0.39221648646995266,20,5,Titanic
winsorization,constant_zero,robust,11.703592722751079,150.92317743364544,8.957552150000003,0.39221648646995266,20,5,Titanic
winsorization,constant_zero,quantile,11.579544387109165,153.49230717725692,9.127164850000003,0.41636538386003485,20,5,Titanic
winsorization,constant_zero,unit_vector,12.590647957984531,173.96284884933803,10.267148949999997,0.26576264209834033,20,5,Titanic
winsorization,iterative,none,11.974620890626294,161.61245155295177,9.6465886,0.3800023293151135,20,5,Titanic
winsorization,iterative,standard,12.158786626740872,164.46227433281553,9.88297395,0.35372921139067703,20,5,Titanic
winsorization,iterative,minmax,11.974620890626294,161.61245155295177,9.6465886,0.3800023293151135,20,5,Titanic
winsorization,iterative,robust,11.974291241099,161.6018850271652,9.6410485,0.38002126514677415,20,5,Titanic
winsorization,iterative,quantile,11.855651542305543,163.47221619207997,9.69128215,0.39885177907545427,20,5,Titanic
winsorization,iterative,unit_vector,13.199028089391911,197.14671701446989,11.000883049999999,0.19632336654610233,20,5,Titanic
winsorization,drop,none,12.920720543080199,204.03929298555266,10.649590499999999,-0.6748953612632185,17,5,Titanic
winsorization,drop,standard,12.916108990521542,203.911150035836,10.652457166666666,-0.6738370269077772,17,5,Titanic
winsorization,drop,minmax,12.920720543080199,204.03929298555266,10.649590499999999,-0.6748953612632185,17,5,Titanic
winsorization,drop,robust,12.920720543080199,204.03929298555266,10.649590499999999,-0.6748953612632185,17,5,Titanic
winsorization,drop,quantile,13.58128300245004,221.70199835912322,11.055291683333335,-0.9243430117350924,17,5,Titanic
winsorization,drop,unit_vector,13.715039242678444,221.07163115985924,10.747722733333333,-0.849241450376843,17,5,Titanic
log,mean,none,11.724914684139055,146.74591812916213,8.983783399999997,0.369730255808041,20,5,Titanic
log,mean,standard,11.724914684139055,146.74591812916213,8.983783399999997,0.369730255808041,20,5,Titanic
log,mean,minmax,11.724914684139055,146.74591812916213,8.983783399999997,0.369730255808041,20,5,Titanic
log,mean,robust,11.724914684139055,146.74591812916213,8.983783399999997,0.369730255808041,20,5,Titanic
log,mean,quantile,11.608040541541424,152.06545770792562,9.289829899999997,0.40174544440777654,20,5,Titanic
log,mean,unit_vector,12.379194735402407,176.03856414626077,9.537101849999996,0.37796223332119044,20,5,Titanic
log,median,none,11.82861268547112,148.8531221743337,9.114924999999996,0.3538091689843481,20,5,Titanic
log,median,standard,11.82861268547112,148.8531221743337,9.114924999999996,0.3538091689843481,20,5,Titanic
log,median,minmax,11.827886541882796,148.8286238450167,9.111841699999996,0.35384589785623455,20,5,Titanic
log,median,robust,11.827886541882796,148.8286238450167,9.111841699999996,0.35384589785623455,20,5,Titanic
log,median,quantile,11.74244740311127,154.8857191188967,9.41815705,0.38573244625206937,20,5,Titanic
log,median,unit_vector,12.386210075156209,176.28272010640376,9.422725450000003,0.3771647141584265,20,5,Titanic
log,knn,none,11.65129901286399,145.43727944167784,8.845396250000002,0.37878334597010654,20,5,Titanic
log,knn,standard,11.65129901286399,145.43727944167784,8.845396250000002,0.37878334597010654,20,5,Titanic
