movie_id,title,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,Toy Story (1995),0.13910003,0.020145152,0.17404896,0.06050215,-0.1335739,-0.0954234,0.1148807,0.002120495,-0.07043736,-0.0644442,-0.14866191,0.10967042,0.04496571,0.02231299,-0.25056967,-0.05043548,-0.08946999,0.07670791,-0.050944224,0.04671846,0.27036217,0.03083341,-0.1104341,0.12308046,0.03794795,-0.08868605,-0.0602741,0.015150123,-0.052898817,-0.0505975,0.13700722,-0.029070536,0.14146808,-0.36673236,-0.044027008,0.069707796,0.06954413,-0.11966687,0.1069477,-0.07879742,-0.06382536,0.0044774436,0.19055831,0.09169009,-0.029579561,0.107478745,-0.066696726,-0.22366372,0.05038423,-0.06482747,0.21486136,0.22864597,0.12777536,-0.29719678,-0.2813111,-0.070352346,-0.1168876,0.10165075,-0.13132985,-0.21893507,-0.107119106,0.025477773,0.07624674,0.095144376
2,GoldenEye (1995),0.1927534,-0.09645921,0.29646897,0.17960198,-0.22830762,-0.17317957,0.19586477,0.25532728,-0.35751048,0.040708005,-0.0031204647,-0.27466017,0.25304163,-0.03953185,0.103410415,-0.125608,-0.044549603,0.098443225,-0.01127833,-0.0146937,0.15307777,0.039898746,-0.073703185,0.12748116,0.035371676,-0.10053176,-0.16203763,-0.24132355,0.25931385,0.37929827,0.2606508,-0.15534794,0.18681899,-0.24047291,-0.28263834,-0.016286872,-0.061897848,-0.09543367,-0.011413289,-0.19628228,-0.03652202,-0.16617693,-0.12943125,0.24586539,0.024898823,0.027926179,-0.1307325,-0.34060287,0.040294126,-0.08056253,0.13883296,0.06412488,0.0097949775,-0.19930464,-0.03783999,-0.1289134,0.25813133,-0.101293154,0.05709525,-0.2772517,-0.21604653,0.07078462,0.30278996,-0.23589039
3,Four Rooms (1995),-0.3490585,-0.26775843,0.08163626,0.15374573,-0.6469966,-0.16203281,-0.24373859,0.010100342,-0.3629563,0.07281215,-0.16972095,-0.024951225,0.34303734,-0.08230242,-0.15507212,-0.042376906,0.123254396,0.0034285286,0.08958145,0.24170983,0.11919972,0.12002569,0.09995332,-0.07944774,0.33126214,-0.0024499916,0.060717564,0.093244575,-0.05651213,-0.09736154,0.104610935,-0.104013756,0.06545978,-0.39255676,0.0602277,0.1128806,0.0009654769,-0.055494975,-0.07360892,-0.027164584,-0.24980003,-0.13358797,0.09850954,0.07082235,0.17438999,0.021655077,-0.14316283,-0.12435839,-0.17195824,0.18012105,-0.025112346,0.20459022,-0.009449184,-0.42648217,-0.100317426,-0.09747289,-0.2257935,-0.17207672,-0.19084595,-0.10319411,0.090120114,0.20213275,-0.12658624,0.08898712
4,Get Shorty (1995),0.05831769,-0.0500149,0.076098196,0.05157826,-0.088716954,0.24243498,-0.11839045,0.020018898,-0.08921522,0.122899994,-0.12943798,0.004529603,0.06087029,-0.16213652,-0.097011,-0.12742811,0.05510477,-0.023518287,0.033163793,0.053585038,0.1896668,0.027842013,-0.013521526,0.002527718,-0.028280165,-0.2149302,-0.06661966,0.038929176,-0.14251477,0.13226749,-0.0072708405,-0.066614516,-0.028243003,-0.10824936,0.1404436,0.016704286,-0.048676834,0.06913511,-0.060753647,0.08627053,-0.15877172,0.049108155,0.029139938,0.14863087,0.0212478,0.1014132,-0.07559149,-0.27319252,0.00957538,-0.08747303,0.24186197,0.0972253,-0.04908795,-0.28976625,-0.22834066,0.13377015,0.06803258,0.041428346,0.15452279,-0.14919357,-0.19202551,0.08090395,0.10909251,0.08505955
5,Copycat (1995),-0.09971697,-0.214111,0.15489897,0.27045727,-0.5376266,0.231378,0.09116895,0.07512444,-0.4426598,-0.10372812,-0.15455545,0.24834494,-0.091462344,0.23725796,0.0047224686,-0.2563634,0.042137567,0.08596847,-0.230341,-0.12827261,-0.06416655,0.042389527,-0.19258812,0.19349726,0.1825216,0.017107053,-0.082102165,0.06298545,0.3802725,-0.1467613,0.20025966,-0.12540935,0.1737847,-0.1637314,0.08164731,-0.12985717,0.061767664,0.046353564,0.00089713454,0.061779078,-0.301222,0.024390893,-0.11478379,0.31773296,0.248924,-0.00023091624,0.08377313,-0.44455406,-0.19470245,-0.28118357,-0.31103238,0.15368663,0.20781717,-0.3222093,-0.100433946,-0.084426224,0.19330156,-0.15347089,0.08910296,-0.18454733,-0.06757936,0.11333557,-0.0370551,-0.09449651
7,Twelve Monkeys (1995),-0.0026862265,-0.033192046,0.07783189,0.24664083,-0.12139837,0.053331718,-0.18082458,0.028989907,-0.13984816,-0.13689929,-0.1329868,-0.052414816,0.1136973,0.18575676,-0.20312624,-0.07529455,-0.15111755,0.114596404,-0.10318906,0.029275639,0.04947418,0.049585372,-0.09918811,0.02015471,0.020433746,-0.10402919,-0.04449477,-0.12900823,-0.10073363,0.0014218255,0.13961086,-0.036635682,0.12799002,-0.14648399,0.061371632,-0.020339739,0.06528399,-0.18295571,0.111136444,0.03471055,-0.11490867,-0.11033596,0.14494252,0.030694539,-0.019334037,0.18573056,-0.1743605,-0.21760815,0.026196122,0.012079654,0.08503242,0.18303548,0.1203515,-0.26176807,-0.3237815,0.08316781,-0.06138868,-0.056654535,0.07948706,-0.21462053,-0.06807697,0.115110576,0.067765296,0.265347
8,Babe (1995),0.18936795,0.0060253595,0.13921317,0.034851003,-0.04442859,-0.029792754,-0.068065085,0.23714274,-0.035045695,-0.0230337,-0.13317259,0.039463542,0.045311563,-0.07932882,0.04519959,-0.26522553,-0.017340815,0.14853644,-0.028708724,0.037028186,0.23918594,0.042909533,-0.011497754,0.037133384,0.028440766,0.0037592025,0.0722266,0.12858956,0.041298345,0.091597855,0.037170164,0.04551783,-0.13849857,-0.17865412,0.024832731,-0.08491902,0.060472365,-0.15488194,-0.011820999,0.06481241,-0.17967162,-0.04068676,0.19778529,0.19042978,0.12047888,0.27425334,0.06368342,-0.24710916,-0.122524686,0.027657682,0.16325076,0.027791176,0.072772436,-0.08920972,-0.21144447,0.09021826,0.009115232,0.024099967,0.030376999,-0.084775366,-0.15397952,0.14466569,0.13955823,0.067643404
9,Dead Man Walking (1995),0.052200623,0.075058095,0.19367395,0.014752557,-0.10416583,-0.09927636,-0.22796312,0.039599597,-0.13308448,-0.13496877,0.013941825,-0.09989335,-0.094726406,-0.075286396,-0.0958387,-0.071362615,0.03582754,0.1948044,-0.058095466,0.11809518,0.09720388,-0.008320123,-0.14572272,0.07569206,0.14803763,-0.23603685,0.0359884,-0.070283175,-0.04945805,0.21699885,0.048286457,0.10888919,0.108902596,-0.108928755,-0.099417984,0.020479292,0.016736278,-0.13340756,-0.21618965,-0.080600366,-0.16854118,0.15838026,0.2801668,-0.06973727,0.15342675,0.18259083,-0.12137693,-0.21529786,-0.02362814,-0.042639844,-0.03751681,0.17124632,0.11458947,-0.08231772,-0.18688366,0.016659843,-0.04240234,-0.003010303,0.048478656,-0.07138895,-0.0118323285,0.2111073,0.19298029,0.28398767
10,Richard III (1995),0.31586632,-0.27363577,0.2534705,-0.0057377312,-0.08053104,-0.10881715,-0.39298287,0.10857348,-0.21468931,-0.031057311,0.008260812,-0.087531686,0.015459696,0.33192873,-0.08132358,0.02244333,0.1029705,0.09557381,0.051408548,0.06085071,0.0631323,-0.1494744,-0.25363412,-0.10005945,0.18926613,0.124454305,0.12714043,-0.08205085,-0.12536548,0.2865089,0.11039672,-0.21849647,0.009298883,-0.21175958,0.049115427,-0.023823008,-0.050913002,-0.16954911,0.14218569,0.07987805,-0.27345026,0.3944624,0.17979291,0.10388823,-0.11725136,-0.24107623,-0.04780918,-0.12988709,-0.123838976,0.07279176,-0.040468078,-0.20317733,-0.095937885,-0.11450762,-0.19688357,-0.041482992,0.12930444,0.098575294,-0.22369331,-0.39306542,-0.15110834,0.30329573,-0.054368563,-0.21968949
11,Seven (Se7en) (1995),-0.028664246,-0.07971697,0.10528388,0.11220932,-0.17791884,0.14654738,-0.14397459,-0.0020058476,-0.16459325,-0.008672055,0.0037222898,-0.19449364,0.070980325,0.04750655,-0.19240257,-0.21299295,0.07138499,0.0085443435,0.041655466,-0.026808513,0.054344833,0.055307794,-0.25329956,-0.0033178348,-0.12477661,-0.20960857,0.011229168,-0.068925984,-0.14423832,-0.0032583307,0.17145514,0.032097302,-0.07271008,0.006260944,0.050213825,-0.042019423,-0.060715996,-0.06516759,-0.021627063,0.006573178,-0.069964,-0.009423211,0.028560596,0.12498643,0.02938595,0.21078408,-0.07562849,-0.23691243,-0.14074183,-0.17710131,0.12637791,0.1596134,0.117149875,-0.26871058,-0.3208738,0.028728308,0.1384247,-0.08926788,0.18241854,-0.084963545,0.07907084,0.15728748,0.02311541,0.07869383
